gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,4096,1536,4096,ck,9,0,216.6682,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,237.87,164.54,0.0
gfx942,80,8,4096,4096,ck,7,0,12.9234,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.77,1305.81,0.0
gfx942,80,8,4096,8192,ck,7,0,23.3482,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.99,1442.75,0.0
gfx942,80,56,4096,4096,ck,10,0,22.2881,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,84.31,783.62,0.0
gfx942,80,56,4096,8192,ck,10,0,39.7108,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,94.64,868.07,0.0
gfx942,80,64,4096,4096,ck,11,0,21.2769,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,100.93,825.48,0.0
gfx942,80,64,4096,8192,ck,11,0,37.57,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,114.32,921.03,0.0
gfx942,80,4096,4096,4096,ck,9,0,541.9168,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,253.62,123.84,0.0
gfx942,80,4096,4096,8192,ck,14,0,1031.0961,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,266.59,97.63,0.0
gfx942,80,8,32768,1024,ck,7,0,14.8494,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,36.15,2295.51,0.0
gfx942,80,56,32768,1024,ck,9,0,31.3521,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,119.87,1189.13,0.0
gfx942,80,64,32768,1024,ck,9,0,31.2492,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,137.44,1210.09,0.0
gfx942,80,4096,32768,1024,ck,9,0,1232.0724,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,223.1,248.51,0.0
