gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,7,1536,4096,ck,8,0,19.8889,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.43,318.85,0.0
gfx942,80,8,1536,4096,ck,8,0,19.9488,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.05,318.25,0.0
gfx942,80,56,1536,4096,ck,13,0,25.7357,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,27.38,260.06,0.0
gfx942,80,64,1536,4096,ck,13,0,26.0877,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,30.87,258.75,0.0
gfx942,80,4096,1536,4096,ck,0,0,223.7151,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,230.38,159.36,0.0
gfx942,80,7,4096,2048,ck,8,0,11.983,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.8,706.02,0.0
gfx942,80,7,4096,4096,ck,8,0,20.2429,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.6,833.04,0.0
gfx942,80,7,4096,8192,ck,8,0,37.95,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.38,887.2,0.0
gfx942,80,7,4096,12288,ck,8,0,56.3996,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.49,894.95,0.0
gfx942,80,8,4096,2048,ck,8,0,11.7134,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.46,723.15,0.0
gfx942,80,8,4096,12288,ck,8,0,56.4546,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.26,894.44,0.0
gfx942,80,56,4096,2048,ck,18,0,16.3568,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,57.44,547.91,0.0
gfx942,80,56,4096,4096,ck,18,0,29.1976,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,64.36,598.18,0.0
gfx942,80,56,4096,8192,ck,18,0,54.3502,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,69.15,634.26,0.0
gfx942,80,56,4096,12288,ck,18,0,79.6394,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,70.78,646.4,0.0
gfx942,80,64,4096,2048,ck,18,0,15.3752,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,69.84,588.22,0.0
gfx942,80,64,4096,12288,ck,18,0,72.7816,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,88.52,709.55,0.0
gfx942,80,4096,4096,2048,ck,0,0,303.1576,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,226.68,166.02,0.0
gfx942,80,4096,4096,12288,ck,0,0,1574.132,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,261.93,85.26,0.0
gfx942,80,56,8192,1024,ck,18,0,15.6464,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,60.05,598.44,0.0
gfx942,80,64,8192,1024,ck,18,0,15.5802,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,68.92,609.92,0.0
gfx942,80,4096,8192,1024,ck,0,0,369.5213,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,185.97,215.66,0.0
gfx942,80,7,32768,1024,ck,8,0,25.3465,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.53,1342.21,0.0
gfx942,80,56,32768,1024,ck,3,0,44.4077,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,84.63,839.53,0.0
